"title","url","date"
"As ITV sign Graham Norton for Wheel Of Fortune reboot, a look at TV shows which have been reprised from Who Wants To Be A Millionaire? to Sex And The City","https://www.dailymail.co.uk/tvshowbiz/article-12250775/As-ITV-sign-Graham-Norton-Wheel-Fortune-reboot-look-TV-shows-reprised.html","2023-07-01"
"The Duke of Sussex wants £570,000 payout over hacking claims","https://www.dailymail.co.uk/news/article-12253051/The-Duke-Sussex-wants-570-000-payout-hack-claims.html","2023-07-01"
"Prince Edward and Sophie were the 'forerunners of trying to balance royal duties with money-making careers' ahead of Sussexes - until late Queen paid them £250,000 to quit jobs, new documentary reveals","https://www.dailymail.co.uk/femail/article-12253871/Late-Queen-paid-Prince-Edward-Sophie-250-000-quit-jobs-new-documentary-says.html","2023-07-01"
"Sprechen sie royal? Princess Anne with impressed with a speech in German, but she's not the only member of her family who can speak another language","https://www.dailymail.co.uk/femail/article-12242879/FEMAIL-reveals-royals-speak-languages.html","2023-07-01"
"Just call her 'Royal Spice': From dressing up as Queen Elizabeth I to flirting with Charles (and a toe-curling message to the late Queen), how Geri Horner can't resist the pull of the regal","https://www.dailymail.co.uk/femail/article-12203537/Just-call-Royal-Spice-Geri-Horner-resist-pull-regal.html","2023-07-01"
"The day that marked the largest gathering of royals in London since the Queen's 1946 wedding... We look back at the wedding of Crown Prince Pavlos and Crown Princess Marie-Chantal of Greece on their 28th anniversary","https://www.dailymail.co.uk/femail/article-12142959/The-spectacular-8million-wedding-Crown-Prince-Pavlos-Crown-Princess-Marie-Chantal-Greece.html","2023-07-01"
"Looking oar-some! Rowing fans put on a stylish display in colourful dresses and classic blazers as day five of the Henley Royal Regatta gets underway","https://www.dailymail.co.uk/femail/fashion/article-12253777/Rowing-fans-stylish-display-day-five-Henley-Royal-Regatta-gets-underway.html","2023-07-01"
"Regretting the regatta? Henley revellers make the most of the Pimm's at famous rowing festival (but some look worse for wear)","https://www.dailymail.co.uk/news/article-12253719/Henley-revellers-look-worse-wear-enjoying-final-day-regatta.html","2023-07-01"
"I was once the next big thing at Chelsea - now I'm a CBD millionaire instead","https://www.dailymail.co.uk/sport/football/article-12239005/I-big-thing-Chelsea-Im-CBD-millionaire-instead.html","2023-07-01"
"Why BBQ when you can Aga-Q? It costs £4,000 and looks like a giant frying pan... So can the shiny new gadget from the middle classes' favourite oven brand turn you into a garden gourmet?","https://www.dailymail.co.uk/femail/article-12253155/Why-BBQ-Aga-Q-costs-4-000-looks-like-giant-frying-pan.html","2023-07-01"
"Meet the water boss whose pay has soared 700% while his workers' has risen by just 9%","https://www.dailymail.co.uk/news/article-12253177/Meet-water-boss-pay-soared-Firms-like-accused-profits-pumping-sewage-rivers.html","2023-07-01"
"Sweet moment man's wedding ring that went missing during a Tough Mudder race is found in just minutes thanks to ten metal detectorists","https://www.dailymail.co.uk/femail/article-12253813/Mans-wedding-ring-just-minutes-thanks-ten-metal-detectorists.html","2023-07-01"
"PLATELL'S PEOPLE: Police should never have invaded the private life of Nicola Bulley","https://www.dailymail.co.uk/debate/article-12253077/PLATELLS-PEOPLE-Police-never-invaded-private-life-Nicola-Bulley.html","2023-07-01"
"Revealed: The jobs that will survive the AI revolution tipped to cull 300million posts across the globe - and which ones will pay the best","https://www.dailymail.co.uk/news/article-12252161/The-jobs-survive-AI-revolution-tipped-cull-300million-posts-globe.html","2023-07-01"
"BEL MOONEY: Should I cut ties with my alcoholic mother?","https://www.dailymail.co.uk/femail/article-12252169/BEL-MOONEY-cut-ties-alcoholic-mother.html","2023-07-01"
"Feel like you're being watched? Bizarre symptom that doctors say is a sign of PARKINSONS","https://www.dailymail.co.uk/health/article-12252565/Feel-like-youre-watched-bizarre-Parkinsons-symptom-doctors-overlook.html","2023-07-01"
"Woman shares 'small steps' she took to lose 100 POUNDS in just one year without ever going to the gym or counting calories","https://www.dailymail.co.uk/femail/article-12244353/I-lost-100-POUNDS-just-year-without-going-gym-counting-calories-heres-how.html","2023-07-01"
"California woman, 90, finally finds out what happened to her childhood sweetheart US Air Force commander husband 54 YEARS after he vanished while flying bombing mission in Vietnam","https://www.dailymail.co.uk/news/article-12240059/California-woman-husband-vanished-Vietnam-1969-finally-discovers-happened-him.html","2023-07-01"
"The technology behind the tennis: Behind the scenes at Wimbledon where futuristic systems power the tournament - including AI commentary and Hawk-Eye","https://www.dailymail.co.uk/sciencetech/article-12250647/The-technology-tennis-scenes-Wimbledon-2023.html","2023-07-01"
"Celebrity chef who banned vegans from his restaurant clashes with notorious animal activist after she gatecrashes his establishment","https://www.dailymail.co.uk/news/article-12253563/Fyre-restaurant-chef-John-Mountain-clashes-vegan-activist-Tash-Peterson-fiery-protest.html","2023-07-01"
"I ignored the painless lump on my hand for 12 years thinking it was nothing. Eventually doctors told me it was a rare form of cancer with one devastating way to treat it","https://www.dailymail.co.uk/news/article-12253391/Gold-Coast-mother-Rosie-Fisher-forced-fingers-amputated-lump-hand.html","2023-07-01"
"Inside the world of Australia's hitmen: How much clients pay underworld figures to do their dirty work - and how foreign Triads and 'Lebanese soldiers' are driving down the price of murder","https://www.dailymail.co.uk/news/article-12241425/Hitmen-took-cocaine-kingpin-Bondi-Junction-reportedly-getting-paid-little-X.html","2023-07-01"
"Cities of the dead: Eye-opening new book tours 'the world's most beautiful cemeteries', from Glasgow to Georgia and the coast of Australia","https://www.dailymail.co.uk/travel/article-12237437/Cities-dead-New-book-tours-worlds-beautiful-cemeteries-Glasgow-Georgia.html","2023-07-01"
"What does the appalling story of husband who drugged wife's suppers so she could be raped by 51 strangers reveal about France's attitude to morality and sex? DAVID JONES investigates attacks that shocked the world","https://www.dailymail.co.uk/news/article-12251667/What-story-man-drugged-wifes-suppers-raped-strangers-reveals.html","2023-07-01"
"EDEN CONFIDENTIAL: New York £35,000-a-year princes' prep that was modelled on Harry and William's school fails to win over The Big Apple","https://www.dailymail.co.uk/tvshowbiz/article-12252447/EDEN-CONFIDENTIAL-Princes-prep-modelled-Harry-Williams-school.html","2023-07-01"
"Meet the 20-year-old world number one heart-throb set for Wimbledon glory... And don't worry, he's SINGLE!","https://www.dailymail.co.uk/sport/tennis/article-12252785/The-20-year-old-world-number-one-heart-throb-set-Wimbledon-glory-dont-worry-hes-SINGLE.html","2023-07-01"
"Fresh fears about the gagging of the media arise as an 'internationally known, high public profile' man wins a High Court bid for anonymity amid BBC news investigation into sexual misconduct allegations","https://www.dailymail.co.uk/news/article-12253145/High-public-profile-man-wins-High-Court-bid-anonymity-ahead-BBC-broadcast.html","2023-07-01"
"Emily Atack moved to tears as she learns her great-great-grandfather took his own life after fellow miner was 'crushed' in horrific accident","https://www.dailymail.co.uk/tvshowbiz/article-12253117/Emily-Atack-cries-great-great-grandfather-took-life.html","2023-07-01"
"Russian forces evacuate Zaporizhzhia nuclear plant amid fears Putin's troops are preparing to 'sabotage' it, Ukraine intelligence chief warns - as Moscow brands claim 'pure lies'","https://www.dailymail.co.uk/news/article-12253165/Russian-forces-evacuate-Zaporizhzhia-nuclear-plant-amid-fears-sabotage.html","2023-07-01"
"Ukraine moves soldiers north to protect its border from a possible invasion by mercenary Wagner troops","https://www.dailymail.co.uk/news/article-12252935/Ukraine-moves-soldiers-north-protect-border-possible-invasion-Wagner-troops.html","2023-07-01"
